,RESOLUCAO,EMPRESA,AUTORIZACAO,MARCA,PROCESSO,REGISTRO,VENDA E EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE PRODUTO,CATEGORIA,ASSUNTO PETICAO,EXPEDIENTE E PETICAO,VERSAO
0,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", ANTARES QUÍMICA LTDA, 3.02471-5, HIPOCLORITO DE SÓDIO 3% - ANTARES, 25351.293722/2010-42, 3.2471.0005.001-3, PRODUTO DE VENDA LIVRE, 06/2030, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 6 Meses, 3222033 LIMPA PISOS, 334 REG. SANEANTES - Revalidação de Registro, 3200105/19-3,
1,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", ANTARES QUÍMICA LTDA, 3.02471-5, HIPOCLORITO DE SÓDIO 3% - ANTARES, 25351.293722/2010-42, 3.2471.0005.002-1, PRODUTO DE VENDA LIVRE, 06/2030, BOMBONA PLASTICA OPACA + CAIXA DE PAPELAO, 6 Meses, 3222033 LIMPA PISOS, 334 REG. SANEANTES - Revalidação de Registro, 3200105/19-3,
2,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.001-1, PRODUTO DE VENDA LIVRE, 09/2030, FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP LAVANDA
3,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.002-1, PRODUTO DE VENDA LIVRE, 09/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP LAVANDA
4,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.003-8, PRODUTO DE VENDA LIVRE, 09/2030, FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP EUCALIPTO
5,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.004-6, PRODUTO DE VENDA LIVRE, 09/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP EUCALIPTO
6,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.005-4, PRODUTO DE VENDA LIVRE, 09/2030, FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP PINHO
7,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.006-2, PRODUTO DE VENDA LIVRE, 09/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP PINHO
8,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.007-0, PRODUTO DE VENDA LIVRE, 09/2030, FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP FLORAL
9,"RESOLUÇÃO-RE Nº 5.465, DE 30 DE DEZEMBRO DE 2020", audpel ind e com de produtos de limpeza e papel ltda, 3.05528-2, DESINFETANTE AUDLIMP, 25351.445710/2015-00, 3.5528.0005.008-9, PRODUTO DE VENDA LIVRE, 09/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 2 Ano(s), 3205061 DESINFETANTE PARA USO GERAL, 334 REG. SANEANTES - Revalidação de Registro, 3283572/19-8, DESINFETANTE AUDLIMP FLORAL
